Park, State,21to30,31to40,41to50,51to60,61to70,70orOlder
Acadia,Maine,8.00%,11.00%,20.00%,19.00%,11.00%,2.00%
Shenandoah,Virginia,9.00%,17.00%,20.00%,16.00%,9.00%,4.00%
Cuyahoga Valley,Ohio,9.00%,12.00%,14.00%,21.00%,18.00%,6.00%
Guadalupe,Texas,9.00%,17.00%,20.00%,16.00%,9.00%,4.00%
Rocky Mountain,Colorado,8.00%,11.00%,17.00%,18.00%,17.00%,5.00%
Grand Canyon,Arizona,8.00%,11.00%,17.00%,18.00%,17.00%,5.00%
Yellowstone,Wyoming,6.00%,11.00%,19.00%,16.00%,13.00%,5.00%
Yosemite,California,11.00%,16.00%,16.00%,19.00%,12.00%,4.00%
Olympic,Washington,12.00%,15.00%,20.00%,17.00%,9.00%,3.00%
Denali,Alaska,6.00%,6.00%,17.00%,26.00%,26.00%,10.00%
Joshua Tree,California,14.00%,17.00%,15.00%,16.00%,19.00%,6.00%
Greaty Smoky Mountains ,North Carolina,6.00%,13.00%,19.00%,17.00%,12.00%,5.00%
Death Valley,California,15.00%,17.00%,19.00%,17.00%,19.00%,6.00%
Capitol Reef,Utah,11.00%,10.00%,14.00%,32.00%,24.00%,7.00%
Saguaro,Arizona,6.00%,6.00%,17.00%,26.00%,26.00%,10.00%
Big Bend,Texas,6.00%,6.00%,17.00%,26.00%,26.00%,10.00%
Crater Lake,Oregon,12.00%,15.00%,20.00%,17.00%,9.00%,3.00%
Kenai Fjords,Alaska,6.00%,6.00%,17.00%,26.00%,26.00%,10.00%
Sequoia,California,14.00%,12.00%,19.00%,16.00%,9.00%,3.00%
Kings Canyon,California,14.00%,12.00%,19.00%,16.00%,9.00%,3.00%
Grand Teton,Wyoming,7.00%,10.00%,18.00%,21.00%,15.00%,5.00%
Apostle Islands,Wisconsin,10.00%,13.00%,26.00%,25.00%,9.00%,2.00%
Zion,Utah,10.00%,11.00%,22.00%,15.00%,8.00%,2.00%
Mammoth Cave,Kentucky,6.00%,15.00%,21.00%,14.00%,7.00%,2.00%
Arches,Utah,14.00%,18.00%,19.00%,15.00%,8.00%,3.00%
Mount Rainier,Washington,7.00%,12.00%,20.00%,25.00%,8.00%,3.00%
Bryce Canyon,Utah,9.00%,10.00%,21.00%,16.00%,9.00%,4.00%
Lassen Volcanic,California,12.00%,12.00%,16.00%,22.00%,16.00%,4.00%
