Park,Winter,Spring,Summer,Fall,,,
Acadia,15096,54212,264288,157764,,,
Apostle Islands,2839,5779,24752,12170,,,
Arches,43100,172387,202429,151742,,,
Big Bend,41600,56583,21896,35669,,,
Bryce Canyon,41795,158701,245418,177327,,,
Capitol Reef,39577,270641,259080,217466,,,
Crater Lake,4883,24468,201731,54512,,,
Death Valley,79836,99269,124506,107237,,,
Grand Canyon,271322,537160,657787,501213,,,
Grand Teton,318205,484160,1642717,762411,,,
Great Smoky Mountains,3074401,2727294,3534925,4539863,,,
Guadalupe Mountains,21631,36588,18826,21687,,,
Joshua Tree,220449,275422,107437,178859,,,
Kenai Fjords,0,4806,44912,8076,,,
Kings Canyon,21556,48458,121431,62998,,,
Lassen Volcanic,8684,17630,119634,54710,,,
Mount Rainier,32095,85301,539982,231668,,,
Olympic,123952,280318,557783,257392,,,
Rocky Mountain,90279,182488,763554,404973,,,
Saguaro,904969,888437,745084,778869,,,
Sequoia,46587,102948,200704,104590,,,
Shenandoah,43538,133008,216878,217344,,,
Yellowstone,160420,405543,1500447,590027,,,
Yosemite,172375,395534,800951,520111,,,
Zion,185554,463766,482898,402714,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
