,,
,,
,,
Park,Season,Visitors
Acadia NP,Fall,"61,430"
Acadia NP,Fall,"56,664"
Acadia NP,Fall,"6,992"
Acadia NP,Fall,"18,715"
Acadia NP,Fall,"11,213"
Acadia NP,Fall,"2,750"
Apostle Islands NL,Fall,"3,545"
Apostle Islands NL,Fall,"2,267"
Apostle Islands NL,Fall,792
Apostle Islands NL,Fall,"3,053"
Apostle Islands NL,Fall,"2,139"
Apostle Islands NL,Fall,374
Arches NP,Fall,"66,209"
Arches NP,Fall,"55,339"
Arches NP,Fall,"30,194"
Big Bend NP,Fall,"2,723"
Big Bend NP,Fall,"4,527"
Big Bend NP,Fall,"6,182"
Big Bend NP,Fall,"4,399"
Big Bend NP,Fall,"7,895"
Big Bend NP,Fall,"9,943"
Bryce Canyon NP,Fall,"82,897"
Bryce Canyon NP,Fall,"65,127"
Bryce Canyon NP,Fall,"29,303"
Capitol Reef NP,Fall,616
Capitol Reef NP,Fall,"1,709"
Capitol Reef NP,Fall,129
Capitol Reef NP,Fall,"1,637"
Capitol Reef NP,Fall,"2,552"
Capitol Reef NP,Fall,"1,586"
Capitol Reef NP,Fall,586
Capitol Reef NP,Fall,"1,164"
Capitol Reef NP,Fall,"1,278"
Capitol Reef NP,Fall,"14,377"
Capitol Reef NP,Fall,"9,716"
Capitol Reef NP,Fall,"3,861"
Capitol Reef NP,Fall,148
Capitol Reef NP,Fall,662
Capitol Reef NP,Fall,409
Capitol Reef NP,Fall,"16,431"
Capitol Reef NP,Fall,"11,362"
Capitol Reef NP,Fall,"4,139"
Capitol Reef NP,Fall,"12,526"
Capitol Reef NP,Fall,"9,184"
Capitol Reef NP,Fall,"3,335"
Capitol Reef NP,Fall,0
Capitol Reef NP,Fall,0
Capitol Reef NP,Fall,0
Capitol Reef NP,Fall,"26,679"
Capitol Reef NP,Fall,"17,567"
Capitol Reef NP,Fall,"7,263"
Capitol Reef NP,Fall,"31,311"
Capitol Reef NP,Fall,"24,727"
Capitol Reef NP,Fall,"12,512"
Crater Lake NP,Fall,"24,675"
Crater Lake NP,Fall,"10,497"
Crater Lake NP,Fall,"3,829"
Crater Lake NP,Fall,"9,711"
Crater Lake NP,Fall,"5,800"
Crater Lake NP,Fall,0
Death Valley NP,Fall,821
Death Valley NP,Fall,"1,793"
Death Valley NP,Fall,"1,756"
Death Valley NP,Fall,143
Death Valley NP,Fall,313
Death Valley NP,Fall,353
Death Valley NP,Fall,0
Death Valley NP,Fall,0
Death Valley NP,Fall,0
Death Valley NP,Fall,0
Death Valley NP,Fall,0
Death Valley NP,Fall,0
Death Valley NP,Fall,"21,196"
Death Valley NP,Fall,"18,862"
Death Valley NP,Fall,"15,761"
Death Valley NP,Fall,0
Death Valley NP,Fall,0
Death Valley NP,Fall,0
Death Valley NP,Fall,"19,363"
Death Valley NP,Fall,"13,141"
Death Valley NP,Fall,"11,324"
Death Valley NP,Fall,711
Death Valley NP,Fall,342
Death Valley NP,Fall,"1,358"
Grand Canyon NP,Fall,"31,306"
Grand Canyon NP,Fall,"28,927"
Grand Canyon NP,Fall,"18,648"
Grand Canyon NP,Fall,"24,958"
Grand Canyon NP,Fall,"18,100"
Grand Canyon NP,Fall,0
Grand Canyon NP,Fall,"138,310"
Grand Canyon NP,Fall,"132,712"
Grand Canyon NP,Fall,"101,744"
Grand Canyon NP,Fall,"1,531"
Grand Canyon NP,Fall,"3,183"
Grand Canyon NP,Fall,"1,794"
Grand Teton NP,Fall,"65,246"
Grand Teton NP,Fall,"25,180"
Grand Teton NP,Fall,"5,929"
Grand Teton NP,Fall,"196,591"
Grand Teton NP,Fall,"122,257"
Grand Teton NP,Fall,"74,823"
Grand Teton NP,Fall,"54,288"
Grand Teton NP,Fall,"16,849"
Grand Teton NP,Fall,"1,491"
Grand Teton NP,Fall,"63,273"
Grand Teton NP,Fall,"26,624"
Grand Teton NP,Fall,"4,788"
Grand Teton NP,Fall,"25,747"
Grand Teton NP,Fall,"11,700"
Grand Teton NP,Fall,"1,560"
Grand Teton NP,Fall,"35,990"
Grand Teton NP,Fall,"18,862"
Grand Teton NP,Fall,"11,213"
Great Smoky Mountains NP,Fall,"2,931"
Great Smoky Mountains NP,Fall,"3,574"
Great Smoky Mountains NP,Fall,332
Great Smoky Mountains NP,Fall,"521,214"
Great Smoky Mountains NP,Fall,"674,148"
Great Smoky Mountains NP,Fall,"532,844"
Great Smoky Mountains NP,Fall,"533,528"
Great Smoky Mountains NP,Fall,"660,542"
Great Smoky Mountains NP,Fall,"548,178"
Great Smoky Mountains NP,Fall,"8,541"
Great Smoky Mountains NP,Fall,"11,009"
Great Smoky Mountains NP,Fall,"8,411"
