,Park,State,Spring,Summer,Fall,Winter, State_p,Population
0,Acadia,Maine,54212,264288,157764,491360,Maine,1336000
1,Apostle Islands,Wisconsin,5779,24752,12170,45540,Wisconsin,5795000
2,Arches,Utah,172387,202429,151742,569658,Utah,3102000
3,Big Bend,Texas,56583,21896,35669,155748,Texas,27677000
4,Bryce Canyon,Utah,158701,245418,177327,623241,Utah,3102000
5,Capitol Reef,Utah,270641,259080,217466,786764,Utah,3102000
6,Crater Lake,Oregon,24468,201731,54512,285594,Oregon,4143000
7,Death Valley,California,99269,124506,107237,410848,California,39500000
8,Grand Canyon,Arizona,537160,657787,501213,1967482,Arizona,70160000
9,Grand Teton,Wyoming,484160,1642717,762411,3207493,Wyoming,572000
10,Great Smoky Mountains,Tennessee,2727294,3534925,4539863,13876483,Tennessee,67160000
11,Guadalupe Mountains,Texas,36588,18826,21687,98732,Texas,27677000
12,Joshua Tree,California,275422,107437,178859,782167,California,39500000
13,Kenai Fjords,Alaska,4806,44912,8076,57794,Alaska,739795
14,Kings Canyon,California,48458,121431,62998,254443,California,39500000
15,Lassen Volcanic,California,17630,119634,54710,200658,California,39500000
16,Mount Rainier,Washington,85301,539982,231668,889046,Washington,7406000
17,Olympic,Washington,280318,557783,257392,1219445,Washington,7406000
18,Rocky Mountain,Colorado,182488,763554,404973,1441294,Colorado,5509000
19,Saguaro,Arizona,888437,745084,778869,3317359,Arizona,70160000
20,Sequoia,California,102948,200704,104590,454829,California,39500000
21,Shenandoah,Virginia,133008,216878,217344,610768,Virginia,8175000
22,Yellowstone,Wyoming,405543,1500447,590027,2656437,Wyoming,572000
23,Yosemite,California,395534,800951,520111,1888971,California,39500000
24,Zion,Utah,463766,482898,402714,1534932,Utah,3102000
