State,Spring,Summer,Fall,Winter
Alaska,4806,44912,8076,57794
Arizona,537160,657787,501213,1967482
Arizona,888437,745084,778869,3317359
California,17630,119634,54710,200658
California,48458,121431,62998,254443
California,99269,124506,107237,410848
California,102948,200704,104590,454829
California,275422,107437,178859,782167
California,395534,800951,520111,1888971
Colorado,182488,763554,404973,1441294
Maine,54212,264288,157764,491360
Oregon,24468,201731,54512,285594
Tennessee,2727294,3534925,4539863,13876483
Texas,36588,18826,21687,98732
Texas,56583,21896,35669,155748
Utah,158701,245418,177327,623241
Utah,172387,202429,151742,569658
Utah,270641,259080,217466,786764
Utah,463766,482898,402714,1534932
Virginia,133008,216878,217344,610768
Washington,85301,539982,231668,889046
Washington,280318,557783,257392,1219445
Wisconsin,5779,24752,12170,45540
Wyoming,405543,1500447,590027,2656437
Wyoming,484160,1642717,762411,3207493
