State,Fall,Spring,Summer,Winter
Alaska,8076,4806,44912,57794
Arizona,501213,537160,657787,1967482
Arizona,778869,888437,745084,3317359
California,54710,17630,119634,200658
California,62998,48458,121431,254443
California,104590,102948,200704,454829
California,107237,99269,124506,410848
California,178859,275422,107437,782167
California,520111,395534,800951,1888971
Colorado,404973,182488,763554,1441294
Maine,157764,54212,264288,491360
Oregon,54512,24468,201731,285594
Tennessee,4539863,2727294,3534925,13876483
Texas,21687,36588,18826,98732
Texas,35669,56583,21896,155748
Utah,151742,172387,202429,569658
Utah,177327,158701,245418,623241
Utah,217466,270641,259080,786764
Utah,402714,463766,482898,1534932
Virginia,217344,133008,216878,610768
Washington,231668,85301,539982,889046
Washington,257392,280318,557783,1219445
Wisconsin,12170,5779,24752,45540
Wyoming,590027,405543,1500447,2656437
Wyoming,762411,484160,1642717,3207493
