Park,Date of Review,"Rating 1,3,5,4",Total Number of Reviews,Aggregate,"State,USA only ",Country,Age,Gender(M or F),"Relationship ,Married  or Single",Occupation,Top Activity,Season
"Arches National Park, Utah","Dec 10,2017",5,36,4.9,Georgia,USA,NA,M,Married,NA,Delicate Arch Visit,winter
"Arches National Park, Utah","Feb 26,2017",5,36,4.9,Tennesse,USA,NA,M,Married,NA,Delicate Arch Visit,winter
"Arches National Park, Utah","Ja 23,2017",5,36,4.9,Virginia,USA,NA,F,Married,NA,Delicate Arch Visit,winter
"Arches National Park, Utah","Dec 3,2017",5,15,4.9,New York,USA,NA,M,Single,NA,Delicate Arch Visit,winter
"Arches National Park, Utah","Jan 23,2017",5,15,4.9,Idaho,USA,NA,M,Single,NA,Delicate Arch Visit,winter
"Mount Rainier Natioanl Park, Washington","Dec 29,2017",5,27,4.9,Minnesota,USA,NA,M,Married,NA,Mount Rainier,winter
"Mount Rainier Natioanl Park, Washington","Dec 7,2017",5,27,4.9,Iowa,USA,NA,F,Married,NA,Mount Rainier,winter
"Mount Rainier Natioanl Park, Washington","Feb 26,2017",5,27,4.9,Oregon,USA,NA,F,Married,NA,Mount Rainier,winter
"Mount Rainier Natioanl Park, Washington","Jan 15,2017",5,10,4.9,Florida,USA,NA,M,Single,NA,Mount Rainier,winter
"Mount Rainier Natioanl Park, Washington","Jan 5,2017",5,27,4.9,Massachusetts,USA,NA,M,Married,NA,Mount Rainier,winter
"Bryce Canyon National Park, Utah","Dec 26,2017",5,153,4.9,New jersey,USA,NA,F,Married,NA,Bryce Canyon National Park,winter
"Bryce Canyon National Park, Utah","Dec 26,2017",5,153,4.9,Texas,USA,NA,M,Married,NA,Bryce Canyon National Park,winter
"Bryce Canyon National Park, Utah","Dec 17,2017",5,153,4.9,Missouri,USA,NA,F,Married,NA,Bryce Canyon National Park,winter
"Bryce Canyon National Park, Utah","Dec 23,2017",5,21,4.9,pennsylvenia,USA,NA,M,Single,NA,Bryce Canyon National Park,winter
"Bryce Canyon National Park, Utah","Feb 15,2017",5,21,4.9,Florida,USA,NA,F,Single,NA,Bryce Canyon National Park,winter
"Yosemite National Park, California","Dec 17,2017",5,66,4.9,California,USA,NA,M,Married,NA,Glacier Point,winter
"Yosemite National Park, California","Feb 15,2017",5,66,4.9,Michigan,USA,NA,M,Married,NA,Glacier Point,winter
"Yosemite National Park, California","Jan 14,2017",5,66,4.9,California,USA,NA,M,Married,NA,Glacier Point,winter
"Yosemite National Park, California","jan 11,2017",5,14,4.9,Utah,USA,NA,F,Single,NA,Glacier Point,winter
"Yosemite National Park, California","Jan 4,2017",5,14,4.9,oregon,USA,NA,F,Single,NA,Glacier Point,winter
"Denali National Park, Alaska","Dec 31,2017",5,27,4.9,Tennesse,USA,NA,M,Married,NA,Denali,winter
