Park,Latitude,Longitude
"Arches National Park, Utah",38.7331,-109.59
"Mount Rainier National Park, Washington",46.88,-121.73
"Bryce Canyon National Park, Utah",37.593,-112.19
"Yosemite National Park, California",37.8651,-119.54
"Denali National Park, Alaska",63.1148,-151.19
"Grand Canyon National Park, Arizona",36.107,-112.11
"Yellowstone National Park, Wyoming",44.428,-110.59
"Rocky Mountain National Park, Colorado",40.3428,-105.68
"Lassen Volcanic National Park, California",40.4977,-121.42
Zion National Park,37.2982,-113.03
